# Bahan Masak ekstra — nama, harga rekomendasi (Rp)
Minyak Goreng Bimoli 1L,18000
Minyak Goreng Bimoli 2L,35000
Minyak Goreng Bimoli Pouch 450ml,9000
Minyak Goreng Sania 1L,16000
Minyak Goreng Sania 2L,32000
Minyak Goreng Sania Pouch 450ml,8000
Minyak Goreng Fortune 1L,17000
Minyak Goreng Fortune 2L,33000
Minyak Goreng Tropical 1L,17500
Minyak Goreng Curah 1L,14000
Minyak Kelapa Sawit Curah 2L,28000
Gula Pasir Gulaku 1kg,17500
Gula Pasir Curah 1kg,15500
Gula Pasir Rose Brand 1kg,17000
Gula Merah Cetak 500g,12000
Gula Batu 500g,13000
Gula Bubuk 250g,9000
Tepung Terigu Segitiga Biru 1kg,13000
Tepung Terigu Segitiga Biru 500g,7500
Tepung Terigu Cakra Kembar 1kg,14000
Tepung Serbaguna Bogasari 500g,7000
Tepung Beras 500g,8000
Tepung Tapioka 500g,7000
Tepung Sagu 500g,7000
Tepung Bumbu Serbaguna 500g,9000
Tepung Roti 250g,8000
Maizena Kokok 500g,8000
Margarina Blue Band 250g,11000
Margarina Palmia 250g,11000
Mentega Wijsman 200g,15000
Butter Bulat 200g,14000
Kecap Manis ABC 135ml,8000
Kecap Manis ABC 600ml,22000
Kecap Manis Bango 135ml,8500
Kecap Manis Bango 520ml,23000
Kecap Asin ABC 135ml,7000
Kecap Ikan Squid Brand 150ml,9000
Saus Sambal ABC 140ml,7500
Saus Sambal ABC 335ml,13000
Saus Tomat Del Monte 200g,8500
Saus Tomat ABC 200g,8000
Saori Saus Tiram 140ml,8000
Saus Salad Mayonnaise 200g,11000
Saus BBQ Del Monte 190g,9000

Saus Teriyaki 190g,10000
Ajinomoto MSG 250g,6500
Ajinomoto MSG 500g,12000
Masako Rasa Ayam 230g,8000
Masako Rasa Ayam 500g,16000
Royco Rasa Ayam 22g,2000
Royco Rasa Sapi 22g,2000
Royco Kaldu Ayam 500g,17000
Sasa Vetsin 250g,6000
Racik Bumbu Ayam Goreng 40g,2500
Racik Bumbu Tumis Sayur 40g,2500
Racik Bumbu Sop 40g,2500
Bumbu Racik Sate 40g,2500



Kaldu Sapi Blok 10g,2000
Santan Kara 200ml,6000
Santan Instan 65ml Sachet,2500
Kelapa Sangrai 100g,7000
Bawang Goreng 100g,15000
Bawang Putih Kupas 100g,8000
Terasi Udang 100g,9000
Ebi Kering 100g,12000
Garam Refina 500g,3500
Garam Kapal Beryodium 500g,4000
Garam Batu 1kg,5000
Lada Merica Bubuk 50g,7000
Ketumbar Bubuk 50g,6000
Jinten Bubuk 50g,6000
Kayu Manis Batang 20g,5000
Cengkeh 20g,6000
Pala Bubuk 20g,6000
Asam Jawa 100g,5000

Sereh Bubuk 20g,5000
Bumbu Nasi Goreng Sachet 30g,2500
Bumbu Seblak Sachet 33g,2500
Beras Premium 5kg,68000
Beras Medium 5kg,60000
Beras Pandan Wangi 5kg,75000
Beras Pera 5kg,58000
Telur Ayam Negeri 1kg,28000
Telur Ayam Kampung 1kg,38000

Soun Kering 250g,9000
Bihun Kering 250g,9000
Oatmeal Quaker 500g,32000

