# Makanan Instan ekstra — nama, harga rekomendasi (Rp)
Indomie Mi Goreng Barbeque Chicken 79g,4000
Indomie Mi Goreng Hot & Spicy 78g,3500
Indomie Mi Goreng Black Pepper Beef 77g,4000
Indomie Mi Goreng Ayam Panggang 70g,4000
Indomie Soto Mie 86g,3500
Indomie Cup Mi Goreng 82g,7000
Indomie Cup Kari Ayam 77g,7000
Mie Sedaap Goreng Ayam Krispi 91g,3400
Mie Sedaap Goreng Double 133g,6500
Mie Sedaap Kari Ayam Spesial 83g,3200
Mie Sedaap Cup Goreng 75g,6500
Mie Sedaap Selebaran Goreng 95g,4500
Mie Sedaap Soto Lamongan 83g,3200
Supermi Goreng 86g,3000
Supermi Cup Ayam Bawang 62g,5500
Sarimi Goreng 83g,2800
Sarimi Ayam Bawang 79g,2700
Sarimi Soto 79g,2700
Sarimi Cup Isi 2 Goreng 120g,8500
Gaga 100 Mi Goreng 93g,3500
Gaga 100 Ayam Bawang 86g,3200
Bakmi Mewah Goreng 85g,3300
Bakmi Mewah Ayam Bawang 85g,3200
Lemonilo Mi Goreng 75g,7000
Lemonilo Ayam Bawang 75g,7000
Pop Mie Soto 75g,4500
Pop Mie Kari Ayam 75g,4500
Sarden ABC Saos Tomat 155g,11000
Sarden ABC Extra Pedas 155g,11500
Sarden Botan Saos Tomat 155g,10000
Corned Beef Pronas 198g,27000
Corned Beef Peter's 198g,26000
Kornet Sapi ABC 198g,38000
Energen Vanila 34g,5500
Energen Jagung Bakar 34g,5500
Energen Kurma 34g,5500
Indomie Goreng Rendang 129g,6500
Indomie Goreng Ayam Geprek 133g,6500
Mie Sedaap Goreng Rasa Sambal Terasi 91g,3400
Mie Instan Cup Ayam Bawang (generic) 65g,5000
Bihun Jaguar Goreng 75g,3200
Bihun Soun Super 65g,2800
Mie Honjen Goreng 80g,3000
Wai Wai Quick Goreng 70g,3200
Mami Goreng Spesial 85g,3000
Bakmi Goreng Spesial ABC 85g,3000
