# Minuman ekstra — nama, harga rekomendasi (Rp)
Aqua Botol 330ml,4000
Aqua Galon isi ulang 19L,21000
Aqua Botol 1500ml,7000
Vit Botol 380ml,4000
Vit Box 250ml,4500
Le Minerale Botol 1500ml,7000
Le Minerale Gelas 240ml,2000
Club Botol 380ml,4000
Cleo Botol 1500ml,7000
Amidis Botol 600ml,6000
Nestle Pure Life 600ml,5000
Teh Botol Sosro Kotak 250ml,5000
Teh Botol Sosro Less Sugar 450ml,6000
Teh Pucuk Harum 350ml,3500
Teh Pucuk Harum 500ml,4500
Teh Pucuk Harum 600ml,5500
Teh Gelas Batang 300ml,3000
Teh Gelas Kotak 300ml,3500
Ichi Ocha Melati 350ml,4000
Ichi Ocha Oolong 350ml,4000
Frestea Melati 350ml,4500
Frestea Apple 350ml,4500
Teh Kotak Ultra 300ml,4500
Sosro Tea Kaleng 300ml,7000
Coca-Cola Botol 390ml,7000
Coca-Cola Kaleng 300ml,8000
Coca-Cola Botol 780ml,11000
Fanta Strawberry Botol 390ml,7000
Fanta Orange Botol 390ml,7000
Sprite Botol 390ml,7000
Sprite Kaleng 300ml,8000
Fanta Orange Kaleng 300ml,8000
Pepsi Botol 390ml,6500
Soda Gembira Sirup 480ml,18000
Nutrisari Jeruk 350ml,4000
Nutrisari Anggur 350ml,4000
Nutrisari Mangga 350ml,4000
Nutrisari Muscat 350ml,4000
Buavita Jeruk 250ml,5000
Buavita Mangga 250ml,5000
Buavita Apel 250ml,5000
Aloha Yoghurt Drink Guava 250ml,5500
Ultra Milk Full Cream 1L,19000
Ultra Milk Coklat 250ml,6000
Ultra Milk Strawberry 250ml,6000
Ultra Milk Full Cream 250ml,6000
Indomilk UHT Coklat 250ml,5500
Indomilk UHT Full Cream 250ml,5500
Frisian Flag Coklat 250ml,6000
Frisian Flag Strawberry 250ml,6000
Milo UHT 180ml,5000
Milo Activ-Go Kaleng 240ml,8500
Milo Activ-Go Sachet 20g,2500
Dancow FortiGro 500g,42000
Dancow FortiGro Sachet 30g,2500
Bear Brand Steril 189ml,8500
Frisian Flag Kental Manis Kaleng 320g,12000
Bendera Kental Manis Sachet 190g,7000
Omela Kental Manis Sachet 185g,6500
Greenfields Full Cream 1L,25000
Greenfields Coklat 250ml,7500
Cimory Yogurt Drink 250ml,9000
Cimory Susu Coklat 250ml,9000
Kapal Api Special 165g,12000
Kapal Api Special Mix Gula Aren 28g,3000
Kapal Api Susu 15g,2500
Torabika Duo Coffee 32g,3000
Torabika Cappuccino 25g,2800
ABC White Coffee 30g,3000
Nescafe Classic 100g,21000
Nescafe Sachet 20g,2500
Kopiko Black Coffee 28g,3000
Kopiko Blanca 28g,3000
Kopiko Cappuccino 28g,3000
Gooday Coffee Sachet 25g,2500
White Louver Coffee 25g,2800
Luwak White Coffee Sachet 30g,3000
Top Coffee Susu 25g,2800
Golda Coffee Sachet 25g,2800
Pocari Sweat Botol 500ml,8000
Pocari Sweat Botol 350ml,6000
Mizone Activ Lychee 500ml,6500
Mizone Citrus 500ml,6500
You C1000 Botol 500ml,9000
You C1000 Botol 140ml,4000
Hydro Coco 250ml,6500
Isoplus Botol 350ml,5500
Ion Supply Drink Botol 900ml,10000
Adem Sari Botol 320ml,8000
Extra Joss Sachet 6g,2000
Kratingdaeng Botol 150ml,6500
Kratingdaeng Kaleng 250ml,8000
Larutan Penyegar Cap Badak 150ml,3000
Tolak Angin Cair 15ml,4000
Teh Tawar Siap Minum 250ml,2500
Sirup Marjan Melon 460ml,14000
Sirup Marjan Cocopandan 460ml,14000
Sirup ABC Jeruk 525ml,15000
Sari Kacang Ijo Nutrisari 350ml,4000
Susu Kedelai Murni 250ml,4000
Susu Kacang Soya Home Made 250ml,3500
