# Kebutuhan Rumah ekstra — nama, harga rekomendasi (Rp)
Sabun Mandi Lifebuoy 110g,5000
Sabun Mandi Lux 85g,4000
Sabun Mandi Dove 110g,8500
Sabun Mandi Nuvo 95g,4500
Sabun Mandi Citra 85g,4000

Sabun Guardian 110g,5500
Shampo Clear Sachet 9ml,1000
Shampo Sunsilk Sachet 9ml,1000
Shampo Pantene Sachet 10ml,2000
Shampo Dove Sachet 10ml,2000
Shampo Clear Botol 170ml,23000
Shampo Sunsilk Botol 160ml,22000
Pasta Gigi Pepsodent 190g,14500
Pasta Gigi Close Up 130g,12000
Pasta Gigi Sensodyne 100g,28000
Pasta Gigi Siwak F 190g,9000

Deterjen Rinso 800g,23000
Deterjen Rinso Anti Noda 1.8kg,48000
Deterjen Daia 800g,16000
Deterjen B-29 800g,15000
Deterjen Satu Sachet 35g,2500
Deterjen Boom 770g,14000
Sabun Cuci Piring Sunlight 755ml,17000
Sabun Cuci Piring Sunlight 400ml,10000
Sabun Cuci Piring Mama 420ml,10000
Sabun Cuci Piring Sachet 20ml,1000
Pewangi Pakaian Molto 800ml,17000
Pewangi Pakaian Molto Sachet 27ml,1500
Pewangi Downy 800ml,18000
Pembersih Lantai Wipol 450ml,13000
Pembersih Lantai Mister Muscle 500ml,15000
Pembersih Kaca Spray 500ml,15000
Karbol Lantai 500ml,12000
Pemutih Pakaian Bayclin 500ml,11000

Insektisida Baygon Aerosol 600ml,23000
Insektisida HIT Aerosol 600ml,22000
Kapur Semut ABC,3000
Kapur Semut ABC,3000
Tissue Paseo 250 sheet,11000
Tissue Basah Mitu 40 sheet,6000

Tisu Wajah 150 sheet,7000
Kapas Wajah 455 sheet,9000
Kapas Stem Buddy 50 pcs,4000
Baterai ABC AA isi 2,6000
Baterai ABC AAA isi 2,6000
Baterai Panasonic AA isi 2,7000
Senter Kecil 1 pcs,15000
Korek Api Gas isi 5,2500
Korek Api Batang 1 slop,2000

Pembalut Soften isi 5,7000
Pembalut Whisper isi 5,9000

Minyak Angin Cap Lang 10ml,5000
Minyak Angin Telon 30ml,8000
Minyak Kayu Putih 30ml,6000
Balsem AA 10g,6000

Vicks VapoRub 15g,11000
Baby Oil 60ml,9000
Sabun Cuci Tangan Lifebuoy 185ml,10000
Hand Sanitizer 60ml,8000
Masker Medis isi 10,6000

Gayung Plastik 1 pcs,5000
Ember Plastik Kecil 1 pcs,8000
Sapu Ijuk 1 pcs,10000
Kain Pel Lantai 1 pcs,8000

Spons Cuci Piring isi 3,5000
Lap Dapur 1 pcs,4000
Plastik Kresek 1 slop,12000
Kantong Plastik Hitam 1 slop,15000
Tali Rafia 1 gulung,4000
Lilin Metik isi 10,6000
Pewangi Ruangan 250ml,9000
