# Snack ekstra — nama, harga rekomendasi (Rp)
Chitato Ayam Panggang 68g,9000
Chitato Sapi Panggang 68g,9000
Chitato BBQ 68g,9000
Chitato Lite 68g,9000
Cheetos Oz BBQ 30g,4500
Cheetos Oz Rakornas 30g,4500
Cheetos Cheeza 30g,5000
Qtela Singkong BBQ 40g,6000
Qtela Tempe 40g,6000
Lays Ayam Krispi 27g,5000
Lays Original 27g,5000
Lays Bolognese 27g,5000
Doritos Nacho Cheese 30g,7000
Tic Tac Snack Ayam Bawang 25g,3500
Taro Net Seaweed 35g,6000
Chiki Balls Ayam 20g,3500
Chiki Twist 10g,2000
Tato Sapi Panggang 30g,4000
Oreo Original 133g,9000
Oreo Chocolate 133g,9000
Oreo Vanilla 133g,9000
Oreo Mini 35g,3500
TUC Crackers BBQ 40g,6000
TUC Cheese 40g,6000
Roma Kelapa 130g,7000
Roma Sandwich Cokelat 130g,8000
Roma Malkist Abon 130g,8000
Roma Cream Crackers 130g,7000
Biskuat Oat Krunch 130g,8000
Biskuat Kelapa 130g,7000
Tango Wafer Cokelat 130g,6000
Tango Wafer Vanila 130g,6000
Tango Yogurt Bluberry 130g,7000
Nabati Wafer Richeese 8g,1500
Nabati Wafer Cokelat 8g,1500
Nabati Richeese 130g,8500
Nextar Cokelat 120g,7500
Nextar Kelapa 120g,7500
Wafer Coklat Cosma 8g,1000
Wafello Cokelat 130g,6500
Beng-Beng Sachet 20g,2500
Beng-Beng Maxx 25g,3000
Choki-Choki Stick 20g,2500
Boyke Cokelat 20g,2000
SilverQueen Chunky Bar 65g,17000
Cadbury Dairy Milk 45g,10000
KitKat Mini 2 Finger 40g,8000
Snickers Bar 45g,10000
Malkist Abon 130g,8000
Malkist Cokelat 130g,7500
Superco Malkist Cokelat 130g,8000
Saluut Malkist 130g,8000
Sari Gandum 130g,7500
Regal Klasik 200g,9000
Regal Cheese 200g,11000
Monde Butter Cookies 150g,9000
Monde Malkist 130g,7500
Sunshine Crackers 130g,7000

Pringles Original 52g,12000
Pringles Sour Cream 52g,12000
Kacang Atom Garuda 200g,8000
Kacang Kulit Garuda 200g,8500
Kacang Atom Dua Kelinci 190g,8000
Kacang Rolan 190g,7500
Garuda Pilus 200g,8000

Kacang Mede Sangrai 100g,12000
Kacang Mete Sangrai 100g,20000
Keripik Pisang Original 100g,8000
Keripik Pisang Balado 100g,8000
Keripik Singkong Balado 100g,7000
Keripik Kentang 100g,9000
Kerupuk Udang 250g,9000
Kerupuk Putih 250g,7000
Maicih Keripik Level 5 75g,9000
Chilgo Pedas 100g,10000
Spicy Chiki 20g,3500
Permen Kopiko Classic 78g,4500
Permen Kopiko Cappuccino 70g,4500
Permen Milkita 55g,4000
Permen Kis Electro 55g,4000
Permen Relaxa 55g,4000
Permen Mintos Roll 55g,4000
Permen Alpenliebe 55g,4000
Yupi Gummy Fish 30g,3500
Yupi Pizza 30g,3500
Permen Bolu Milko 100g,6000
Chew Ball Permen 25g,2000
Black Oman 25g,2000
Taro Net Seaweed 60g,6000
Roti Sobek 250g,8000
Roti Tawar Sari Roti 10 slice,13000
Donat Kentang 1 pcs,3000
